movie_id,title,overview
1394,Swept from the Sea (1997),
744,Michael Collins (1996),
1606,Deceiver (1997),
50,Star Wars (1977),"The Star Wars Minute Podcast and The George Lucas Talk Show are proud to return to Dynasty Typewriter on March 15 to stage their LIVE reading of the original screenplay to 1977’s Star Wars, with a radical cast including some of the galaxy’s hottest stars (…and maybe some surprises?!) Since its 1977 release, Star Wars has captivated audiences with its combination of revolutionary special effects and old-fashioned serial fun. What better way to celebrate this than assembling a cast the likes of which has not been seen since we staged our LIVE reading of the prequel trilogy in 2024!"
189,"Grand Day Out, A (1992)",
483,Casablanca (1942),
893,For Richer or Poorer (1997),
614,Giant (1956),
1628,Lamerica (1994),
1347,"Ballad of Narayama, The (Narayama Bushiko) (1958)",
1209,Mixed Nuts (1994),
889,"Tango Lesson, The (1997)",
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",
1497,"Line King: Al Hirschfeld, The (1996)",
989,Cats Don't Dance (1997),
272,Good Will Hunting (1997),
71,"Lion King, The (1994)",
428,Harold and Maude (1971),
1119,Some Kind of Wonderful (1987),
630,"Great Race, The (1965)",
1572,Wend Kuuni (God's Gift) (1982),
678,Volcano (1997),"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, working with a geologist, must then use every resource in the city to try and stop the volcano from consuming LA."
1622,"Paris, France (1993)",
1499,Grosse Fatigue (1994),
1048,She's the One (1996),
904,Ma vie en rose (My Life in Pink) (1997),
1266,Bread and Chocolate (Pane e cioccolata) (1973),
1168,Little Buddha (1993),
1651,"Spanish Prisoner, The (1997)",
495,Around the World in 80 Days (1956),
702,Barcelona (1994),
1306,Delta of Venus (1994),
480,North by Northwest (1959),
1122,They Made Me a Criminal (1939),
1103,Trust (1990),"Filmed at the 1990 performance of Prince Charles's annual charity gala, this home video captures the regal rock 'n roll event in all it's glory. The concert features performances by some of the biggest names and voices in pop music, all of whom were chosen by the Prince himself. These include Chaka Khan, Lisa Stansfield, The Moody Blues, Big Country &amp; retro rocker Lenny Kravitz."
1118,Up in Smoke (1978),
1274,Robocop 3 (1993),"The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, RoboCop must decide where his loyalties lie."
163,"Return of the Pink Panther, The (1974)",
351,"Prophecy II, The (1998)",
186,"Blues Brothers, The (1980)",
1212,Flesh and Bone (1993),
1174,Caught (1996),A middle-aged couple has a drifter enter their lives. The fish-store owners find that the mysterious young man awakens the couple in ways they didn't expect. Things get tense when the drifter begins an affair with the woman of the house.
24,Rumble in the Bronx (1995),
975,Fear (1996),
395,Robin Hood: Men in Tights (1993),
1663,Nothing Personal (1995),
1443,8 Seconds (1994),
979,"Trigger Effect, The (1996)",
100,Fargo (1996),
1359,Boys in Venice (1996),
238,Raising Arizona (1987),
66,While You Were Sleeping (1995),
965,Funny Face (1957),
586,Terminal Velocity (1994),
345,Deconstructing Harry (1997),
571,Another Stakeout (1993),
1337,Larger Than Life (1996),
262,In the Company of Men (1997),
434,Forbidden Planet (1956),
1112,Cobb (1994),
1382,"Bonheur, Le (1965)",
833,Bulletproof (1996),
922,Dead Man (1995),
30,Belle de jour (1967),
902,"Big Lebowski, The (1998)","Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money."
695,Kicking and Screaming (1995),
1055,"Simple Twist of Fate, A (1994)",
1429,Sliding Doors (1998),
594,Heavy (1995),
31,Crimson Tide (1995),
260,Event Horizon (1997),
367,Clueless (1995),
372,Jeffrey (1995),
1248,Blink (1994),
1310,"Walk in the Sun, A (1945)",
766,Man of the Year (1995),
814,"Great Day in Harlem, A (1994)",
1091,Pete's Dragon (1977),
552,Species (1995),
416,Old Yeller (1957),
1084,Anne Frank Remembered (1995),
1312,"Pompatus of Love, The (1996)",
375,Showgirls (1995),
1377,Hotel de Love (1996),
1191,"Letter From Death Row, A (1998)",
1075,"Man of No Importance, A (1994)",
602,"American in Paris, An (1951)",
304,Fly Away Home (1996),
1317,"Journey of August King, The (1995)",
1189,Prefontaine (1997),
1348,Every Other Weekend (1990),
33,Desperado (1995),
681,Wishmaster (1997),
1090,Sliver (1993),
299,Hoodlum (1997),
917,Mercury Rising (1998),"Renegade FBI agent Art Jeffries protects a nine-year-old autistic boy who has cracked the government's new ""unbreakable"" code."
1376,Meet Wally Sparks (1997),
938,"Smile Like Yours, A (1997)",
1664,8 Heads in a Duffel Bag (1997),
1005,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",
1085,Carried Away (1996),
584,"Secret Garden, The (1993)",
45,Eat Drink Man Woman (1994),
926,Down Periscope (1996),
591,Primal Fear (1996),
427,To Kill a Mockingbird (1962),
440,Amityville II: The Possession (1982),
1261,"Run of the Country, The (1995)",
515,"Boot, Das (1981)",
116,Cold Comfort Farm (1995),
60,Three Colors: Blue (1993),
290,Fierce Creatures (1997),
70,Four Weddings and a Funeral (1994),"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
1534,Twin Town (1997),
706,Bad Moon (1996),
835,"Gay Divorcee, The (1934)",
417,"Parent Trap, The (1961)",
1356,Ed's Next Move (1996),
1357,For the Moment (1994),
753,Burnt By the Sun (1994),
486,Sabrina (1954),
136,Mr. Smith Goes to Washington (1939),
1023,Fathers' Day (1997),
1549,Dream Man (1995),
1510,Mad Dog Time (1996),
600,Daniel Defoe's Robinson Crusoe (1996),
1139,Hackers (1995),
79,"Fugitive, The (1993)",
174,Raiders of the Lost Ark (1981),
705,Singin' in the Rain (1952),
558,Heavenly Creatures (1994),
169,"Wrong Trousers, The (1993)","Wallace rents out Gromit's former bedroom to a penguin, who takes up an interest in the techno pants created by Wallace. However, Gromit later learns that the penguin is a wanted criminal.  Preserved by the Academy Film Archive."
1676,"War at Home, The (1996)",
999,Clean Slate (1994),
1560,Clean Slate (Coup de Torchon) (1981),
830,Power 98 (1995),
987,Underworld (1997),
1198,Purple Noon (1960),
1320,Homage (1995),
1662,Rough Magic (1995),
125,Phenomenon (1996),
1564,To Cross the Rubicon (1991),
627,Robin Hood: Prince of Thieves (1991),
430,Duck Soup (1933),Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
644,"Thin Blue Line, The (1988)",
1011,2 Days in the Valley (1996),
1132,Feeling Minnesota (1996),
1476,Raw Deal (1948),
1024,Mrs. Dalloway (1997),
353,Deep Rising (1998),
423,E.T. the Extra-Terrestrial (1982),
998,Cabin Boy (1994),
1678,Mat' i syn (1997),
888,One Night Stand (1997),
803,Heaven & Earth (1993),
